                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.9886,                 1.4668,                  2.222,                0.62528,                0.51332,                 0.5998,                 0.1825,                 2.5003,                 1.7512,                  2.812,             0.00089134,             0.00089134,             0.00089134
                     50,                 2.0097,                 1.4703,                 2.2569,                0.53282,                0.51571,                0.54743,                 0.1515,                 2.6106,                 1.7613,                 2.9076,             0.00087484,             0.00087484,             0.00087484
                     51,                 2.1325,                 1.5237,                  2.326,                0.57635,                0.65429,                0.67786,                0.21103,                 2.4409,                 1.5889,                 2.7675,             0.00085834,             0.00085834,             0.00085834
                     52,                 2.0325,                 1.4818,                 2.2162,                0.53093,                0.63327,                0.59407,                0.20719,                 2.4966,                 1.5805,                 2.7965,             0.00084184,             0.00084184,             0.00084184
                     53,                 2.0059,                 1.5061,                 2.2115,                0.41928,                0.51069,                0.43805,                0.15552,                 2.7364,                  1.709,                  3.013,             0.00082533,             0.00082533,             0.00082533
                     54,                 2.1068,                 1.4787,                 2.2502,                0.60731,                0.61432,                0.63859,                0.23638,                 2.4476,                 1.5533,                 2.7397,             0.00080883,             0.00080883,             0.00080883
                     55,                 2.0115,                 1.4494,                 2.2148,                0.67952,                0.68772,                0.70904,                0.21946,                 2.5815,                 1.5024,                 2.8574,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.9823,                 1.4306,                 2.1828,                0.61652,                0.67603,                0.69424,                 0.2408,                 2.4463,                 1.4975,                  2.746,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.9267,                 1.4558,                 2.2104,                0.63891,                0.70615,                0.66338,                0.25696,                  2.358,                 1.4762,                 2.6768,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.9576,                 1.4074,                 2.1699,                0.66403,                0.77857,                0.72714,                0.24799,                 2.2698,                 1.5184,                 2.5846,             0.00074282,             0.00074282,             0.00074282
